,BMV:ALFAA,BMV:ALPEKA,BMV:ALSEA,BMV:AMXL,BMV:AC,BMV:ASURB,BMV:GFREGIOO,BMV:BIMBOA,BMV:BOLSAA,BMV:CEMEXCPO,BMV:KOFL,BMV:LIVEPOLC-1,BMV:ELEKTRA,BMV:GFNORTEO,BMV:FEMSAUBD,BMV:LABB,BMV:GENTERA,BMV:GMEXICOB,BMV:GRUMAB,BMV:GAPB,BMV:GCARSOA1,BMV:GFINBURO,BMV:SANMEXB,BMV:LALAB,BMV:TLEVISACPO,BMV:IENOVA,BMV:KIMBERA,BMV:MEXCHEM,BMV:NEMAKA,BMV:OHLMEX,BMV:OMAB,BMV:PE&OLES,BMV:PINFRA,BMV:VOLARA,BMV:WALMEX
BMV:KOFL,-0.21304926744385005,0.7147616097359373,0.7939998376746912,-0.6238321158520382,0.8236133051566795,0.5503008065975412,0.6336863061360406,0.7912247233529154,0.605985454579608,0.1631618025924687,1.0,-0.026581630024785734,-0.13551329062971,0.7480662381423775,0.6884986153840695,0.38571400088994195,0.7404623432861784,0.12889410440949767,0.5220047547377793,0.6967337552352941,0.5445963422357167,-0.3574346809859418,0.6828515597662976,0.3753601753824248,-0.20339520426525168,-0.07817041130400725,0.6489055118813385,0.04788540764804908,0.16622651123516982,0.11985109505641535,0.8058414261878858,0.5328815394177961,0.69337672560311,0.653649634346085,0.3929991567106223
BMV:LIVEPOLC-1,0.8192032707031276,0.36696914370570016,0.23156839000479015,-0.2527462071415766,-0.10907014934769091,-0.26710936992755724,-0.19717988008949827,0.3018117107642555,-0.18671364171425675,-0.7283398781799588,-0.026581630024785734,1.0,-0.38519116443253826,-0.18157045306187003,0.21144640074632748,-0.7093608079884439,0.29170498153083113,-0.7593283446586359,0.1749430789553955,0.034529746141258394,-0.20675841721430527,-0.001656330463881876,-0.16493951071070154,0.7608492212582956,0.0024563558210202933,-0.6432197351643832,0.4870020491164895,-0.6577348273945487,0.6426369362292392,-0.15504747193166968,0.11041824242673605,-0.5507611363855559,0.4931333109213214,0.3868512186424497,0.5798463009830918
BMV:ELEKTRA,-0.1663986657497454,-0.602359457589321,-0.30600568599782096,0.5561671671506756,-0.015858512131269004,-0.06580605216778353,-0.3609048024938006,-0.48602916961661397,-0.00969328046569953,0.11939792430933245,-0.13551329062971,-0.38519116443253826,1.0,-0.11937342603298211,-0.32849697030173647,0.1669820478811631,-0.3116493805292248,0.017614154742147906,-0.47948990829429217,-0.2919853388463778,-0.1758574786140038,0.45828318107278054,0.19182172012771168,-0.3425862799411622,0.14820278638006967,0.12409319820475657,-0.42404805375488075,0.27048293442495286,-0.020110612082701332,0.34378123649590303,-0.3559824934626279,-0.10289978018902213,-0.2569004929195959,-0.5744371031400842,-0.24617154471631422
BMV:GFNORTEO,-0.47503778223275217,0.6168794251911895,0.7886603121744554,-0.6455337897682936,0.8687159311703112,0.8430205677363103,0.864415138880063,0.656538335296857,0.6935416218124127,0.40330578691180835,0.7480662381423775,-0.18157045306187003,-0.11937342603298211,1.0,0.8360364789471436,0.47057174464134016,0.6701902998906287,0.4897201639654702,0.6922716916380278,0.8440235450108866,0.7645938891576948,-0.6115066640730119,0.643432682443339,0.13969792472320774,-0.3158611041664868,0.35855713060598093,0.616151250723818,0.3949335346442259,-0.22256395909093823,-0.11570365924772447,0.8193949341813329,0.7327390963398923,0.5627269616016338,0.6210768843444806,0.4693182579651307
BMV:FEMSAUBD,-0.17406085909511534,0.7392646996469299,0.9067004810307115,-0.8183356724225676,0.8279869265828614,0.7771117027266469,0.7615741184276071,0.8073440796597241,0.5016309241941734,0.01372358350292362,0.6884986153840695,0.21144640074632748,-0.32849697030173647,0.8360364789471436,1.0,0.13391907969519268,0.7670557870814111,0.163359733282594,0.8776731344384592,0.9026704490248363,0.722668294993576,-0.7366024261821608,0.41760294263370934,0.49343620465833055,-0.46056335785880503,0.05191676271313321,0.8408207528488592,0.056675267844592876,0.08943540055456664,-0.31261101307956624,0.8467477194536392,0.4804481079742433,0.7706887328723847,0.8339586848240471,0.7327762646860451
BMV:LABB,-0.7716927648355394,0.07787161274769015,0.11006447208132042,-0.13233019170189755,0.3732304302848696,0.4821643240756664,0.5220609296634409,0.09175714784876032,0.5201993562359337,0.7474159078564461,0.38571400088994195,-0.7093608079884439,0.1669820478811631,0.47057174464134016,0.13391907969519268,1.0,0.10503926003261271,0.6841472115298404,-0.007056989505709307,0.3447736583405889,0.40444829070838845,-0.20830750432537484,0.4495643926816832,-0.525076724523353,-0.13320611001950927,0.4675405354517322,-0.07227042113644129,0.567704319368624,-0.6546076459229633,0.17851969838093776,0.3602611170744909,0.8230808481886903,-0.10761900577662134,-0.08280172259215733,-0.3481178721069562
BMV:GENTERA,-0.03776828695048275,0.808278640071141,0.8167071284447891,-0.7813942531741306,0.6434182344706145,0.43730312297730856,0.5889064545590346,0.807422977023955,0.3449918525883931,-0.1213261934617514,0.7404623432861784,0.29170498153083113,-0.3116493805292248,0.6701902998906287,0.7670557870814111,0.10503926003261271,1.0,-0.1003624347701378,0.6520960823373739,0.6900756364916264,0.4740308965695916,-0.509737719047421,0.5011079526648022,0.5016731063015126,-0.4687506401804146,-0.24988545228472536,0.7398187502405419,-0.1949849304151825,0.2877648344425638,-0.11447122951391829,0.7214462268490998,0.3085203524694632,0.7881832504351628,0.8372332545631918,0.5034147534919983
BMV:GMEXICOB,-0.8039345638947775,-0.0375513750144029,0.015236128717349782,-0.0049802978183955664,0.2776201044234508,0.5884526726514172,0.5929741692541453,-0.07454593295344186,0.4746602834935183,0.8934967381405733,0.12889410440949767,-0.7593283446586359,0.017614154742147906,0.4897201639654702,0.163359733282594,0.6841472115298404,-0.1003624347701378,1.0,0.1937049302639256,0.2960003136428403,0.5392211995736642,-0.287463806818098,0.19242552219145656,-0.5990570472252564,-0.10979801648330957,0.8221669242785482,-0.17834313873327276,0.8506779330307455,-0.7329473482127985,-0.02851608142238977,0.21596301518822095,0.7767817416836332,-0.28888238891916923,-0.08696012457276003,-0.27103064473656413
BMV:GRUMAB,-0.15654093004275013,0.6603101151468855,0.840137546595811,-0.8012932058143784,0.7254137476960834,0.7208621378659233,0.7060255250928189,0.7661141909534204,0.29392015608574895,-0.06654587433091728,0.5220047547377793,0.1749430789553955,-0.47948990829429217,0.6922716916380278,0.8776731344384592,-0.007056989505709307,0.6520960823373739,0.1937049302639256,1.0,0.8349516579424818,0.7542618041124894,-0.793330670357736,0.1458361708544017,0.5322459120623807,-0.5517746933187341,0.044518299070618564,0.7715317506626866,0.01660694353754778,0.1718409342727426,-0.4599865935582264,0.7063991426917987,0.369146684064138,0.6877428525891929,0.8711510078514115,0.6855767223235013
BMV:GAPB,-0.33085553568824466,0.7154954184098454,0.8949339881487547,-0.8100858199794757,0.8841973892557285,0.8986696572387654,0.8493704541825734,0.7595840254336027,0.5610600545971614,0.13539148879113883,0.6967337552352941,0.034529746141258394,-0.2919853388463778,0.8440235450108866,0.9026704490248363,0.3447736583405889,0.6900756364916264,0.2960003136428403,0.8349516579424818,1.0,0.8124076026299204,-0.7941291072396701,0.39290061233052803,0.4019745535068802,-0.5414035638701977,0.10823751259192006,0.8059301467928477,0.19224033732465964,-0.16963237171290504,-0.3389833191381595,0.8962673229720822,0.609722720383891,0.6878777787255428,0.7813715802999555,0.6250865715021033
